date,title,summary,topic,media,link
2022-08-22,Policía no dejará pasar ni un solo acto de maltrato de animales,"Hasta el mes de julio, se habían recibido 390 querellas relacionadas a este delito, en su mayoría cometidos contra perros. ",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/policia-no-dejara-pasar-ni-un-solo-acto-de-maltrato-de-animales/
2022-08-22,Cómo controlar ese reflujo,"Síntomas, tratamientos y consejos para esta alteración del aparato digestivo.",Saludable,Primera Hora,http://www.primerahora.com/estilos-de-vida/ph-mas-saludable/notas/como-controlar-ese-reflujo/
2022-08-22,El otro costo de la luz,“Algo pasó en las pasadas semanas que el Ejecutivo ha tenido que empezar a recoger vela”. ,Celimar Adames Casalduc,Primera Hora,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/el-otro-costo-de-la-luz/
2022-08-22,Realizan cacerolazo contra LUMA frente a La Fortaleza,La manifestación fue convocada a través de las redes sociales.,Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/realizan-cacerolazo-contra-luma-frente-a-la-fortaleza/
2022-08-22,Toni Costa celebró con su novia su cumpleaños 39,"“Te mereces todo lo bonito amor mío”, fue uno de los mensajes que le dedicó la modelo Evelyn Beltrán.",Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/toni-costa-celebro-con-su-novia-su-cumpleanos-39/
2022-08-22,Empleados de la salud piden que se cancele el contrato de LUMA,La Unidad Laboral de Enfermeros y Empleados de la Salud (ULEES) exigió al gobernador Pedro Pierluisi a que cancele el contrato de LUMA Energy.,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/empleados-de-la-salud-piden-que-se-cancele-el-contrato-de-luma/
2022-08-22,Mueren cuatro turistas en accidente de autobús en Perú,El gobierno de Perú informó el lunes que cuatro turistas -dos de nacionalidad colombiana y otros dos cuyo origen se desconoce- murieron cuando un minibús cayó a un abismo en una carretera a 26 kilómetros de la ciudadela de Machu Picchu.,Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/mueren-cuatro-turistas-en-accidente-de-autobus-en-peru/
2022-08-22,Detienen a cubano que llegó a Florida en un kayak inflable ,"Agentes de la Patrulla Fronteriza de Estados Unidos detuvieron a un balsero cubano que llegó a las costas de Florida en un kayak inflable, el último episodio de detenciones de migrantes provenientes de la isla caribeña que en las últimas fechas registró un destacado incremento.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/detienen-a-cubano-que-llego-a-florida-en-un-kayak-inflable/
2022-08-22,Vídeo muestra a tres policías golpeando a hombre en Arkansas,. Tres policías en Arkansas han sido suspendidos luego que surgió en las redes sociales un video de un hombre en el suelo siendo golpeado por policías.,Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/video-muestra-a-tres-policias-golpeando-a-hombre-en-arkansas/
2022-08-22,Glaciares de Suiza han perdido más de la mitad de su volumen,"Los 1,400 glaciares de Suiza han perdido más de la mitad de su volumen total desde principios de la década de 1930, según un nuevo estudio, y los investigadores dicen que la disminución del hielo se está acelerando en un momento de creciente preocupación por el cambio climático.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/glaciares-de-suiza-han-perdido-mas-de-la-mitad-de-su-volumen/
2022-08-22,Anthony Fauci dejará su cargo en diciembre,"El epidemiólogo jefe de EE.UU. y cara visible de la respuesta del país a la pandemia de covid-19, Anthony Fauci, anunció este lunes que dejará ese cargo en diciembre con la intención de aprovechar lo aprendido para seguir contribuyendo al avance de la ciencia y de la sanidad pública.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/anthony-fauci-dejara-su-cargo-en-diciembre/
2022-08-22,Citan para el 31 de agosto inicio de juicio contra influencer por evasión contributiva ,"La jueza Nerisvel Durán Guzmán, del Tribunal de San Juan, programó para el 31 de agosto el inicio del juicio en su fondo contra el influencer puertorriqueño Jorge Christopher Batista Agront, quien está acusado de cinco cargos por no rendir planillas, en violación de la sección 6030.11 del Código de Rentas Internas; cuatro de ellos por en su carácter personal y uno relacionado con las contribuciones sobre ingresos de su compañía JetTrades LLC, informó la Oficina de Prensa de la Administración de Tribunales.",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/citan-para-el-31-de-agosto-inicio-de-juicio-contra-influencer-por-evasion-contributiva/
2022-08-22,"Gobierno celebrará feria de empleo en Orlando, Florida, para ayudar a la reconstrucción","El gobernador Pedro Pierluisi y el secretario de la Vivienda, William Rodríguez, anunciaron la celebración de una feria de empleo en la ciudad de Orlando, Florida, para identificar “profesionales puertorriqueños dispuestos a incorporarse a la fuerza de trabajo en la Isla”m, enfocada en la ejecución de los programas subvencionados por los fondos de recuperación CDBG-DR y CDBG-MIT.",Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/gobierno-celebrara-feria-de-empleo-en-orlando-florida-para-ayudar-a-la-reconstruccion/
2022-08-22,Udonis Haslem jugará su temporada número 20 con el Heat de Miami, Kobe Bryant. Dirk Nowitzki. Y ahora ,Baloncesto,Primera Hora,http://www.primerahora.com/deportes/baloncesto/notas/udonis-haslem-jugara-su-temporada-numero-20-con-el-heat-de-miami/
2022-08-22,Mujer se vuelve amiga del asesino de su madre por una poderosa razón,"Fueron cientos los crímenes que ocurrieron entre 1967 y 1980 por homicidas como Charles Manson, Jhon Gacy y Angelo Buono. Sin embargo, en Nueva York se hizo conocido un hombre que causó más de 100 muertes durante poco más de una década.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/mujer-se-vuelve-amiga-del-asesino-de-su-madre-por-una-poderosa-razon/
2022-08-22,La halterofilia boricua tendrá derecho a llevar a seis atletas a los Panamericanos del 2023,La ,Otros deportes,Primera Hora,http://www.primerahora.com/deportes/otros/notas/la-halterofilia-boricua-tendra-derecho-a-llevar-a-seis-atletas-a-los-panamericanos-del-2023/
2022-08-22,Designan FEI al legislador Albert Torres Berríos,"El Panel sobre el Fiscal Especial Independiente (PFEI) acogió la recomendación del secretario de Justicia, Domingo Emanuelli, y designó un Fiscal Especial Independiente (FEI) para investigar al legislador Albert Torres Berríos.",Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/designan-fei-al-legislador-albert-torres-berrios/
2022-08-22,Construyen cientos de casas resistentes a terremotos en Afganistán ,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR) inauguró este lunes un programa para construir 2,300 casas resistentes a terremotos en el este de Afganistán, golpeado el pasado junio por un seísmo de 5.9 grados que causó la muerte de más de mil personas e hirió a unas 1,500.",Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/construyen-cientos-de-casas-resistentes-a-terremotos-en-afganistan/
2022-08-22,Hieren de bala a un conductor en Caguas ,"Un conductor resultó herido de bala mientras transitaba durante la mañana de hoy, lunes, por la avenida Degetau cerca de la salida hacia la autopista Luis A. Ferré, en Caguas, informó la Oficina de Prensa del Negociado de la Policía.",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/hieren-de-bala-a-un-conductor-en-caguas/
2022-08-22,"Gobernador republicano de Florida contempla enviar migrantes a Delaware, estado de Biden  ","La vicegobernadora de Florida, Jeanette Núñez, dijo que el gobernador Ron DeSantis contempla enviar migrantes al estado de Delaware, siguiendo el ejemplo de otros estados conservadores como Texas y Arizona, que han estado transportando estos indocumentados a Washington y Nueva York.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/gobernador-republicano-de-florida-contempla-enviar-migrantes-a-delaware-estado-de-biden/
2022-08-22,Salinas se coloca a medio camino de su primer campeonato en la Doble A,"Los Peces Voladores de Salinas, debutantes en una serie final del Béisbol Superior Doble A, se colocaron a mitad de camino en busca de su primer campeonato, al imponerse con resultado 7-4 ante los Toritos de Cayey, ayer domingo, en el estadio Jesús María Freire de Cidra.",Béisbol,Primera Hora,http://www.primerahora.com/deportes/beisbol/notas/salinas-se-coloca-a-medio-camino-de-su-primer-campeonato-en-la-doble-a/
2022-08-22,Cambios en “Noticentro al amanecer”," “Un nuevo amanecer”, así describieron la nueva etapa del noticiario matutino de Wapa TV, luego de 22 años ininterrumpidos de llegar a los hogares dentro y fuera de Puerto Rico.",Cine y TV,Primera Hora,http://www.primerahora.com/entretenimiento/cine-tv/notas/cambios-en-noticentro-al-amanecer/
2022-08-22,¿Esta es la nueva pareja de Brad Pitt?,"ha venido siendo tendencia a nivel mundial en las últimas semanas, luego del lanzamiento del ‘Bullet Train’, su segundo papel protagónico de 2022, tras su aparición en ‘La ciudad perdida’, cinta en la que participó con Sandra Bullock y Channing Tatum.",Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/esta-es-la-nueva-pareja-de-brad-pitt/
2022-08-22,Desalojan escuela en Humacao por escape de gas ,"El Negociado del Cuerpo de Bomberos informó que, durante la mañana de hoy, lunes, fue desalojada la escuela Intermedia Carlos Rivera Ufred, en Humacao, por emanaciones de gas.",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/desalojan-escuela-en-humacao-por-escape-de-gas/
2022-08-22,España suma ya 50 grandes incendios," España registró, para el 14 de agosto, 50 grandes incendios forestales (aquellos que superan las 500 hectáreas), una cifra que, en lo que va de siglo, solo se ha superado en 2006 cuando se contabilizaron 58 fuegos de grandes dimensiones, reportó el Ministerio para la Transición Ecológica.",Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/espana-suma-ya-50-grandes-incendios/
2022-08-22,Agencia de contrainteligencia rusa culpa a Ucrania de asesinato,"La principal agencia de la contrainteligencia rusa culpó el lunes a las agencias de espionaje ucranianas por el asesinato de una nacionalista rusa que era hija de un ideólogo importante, calificado por algunos en Occidente como “el cerebro de Putin”.",Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/agencia-de-contrainteligencia-rusa-culpa-a-ucrania-de-asesinato/
2022-08-22,La contaminación en Estados Unidos afecta más a barrios de las minorías ,"La contaminación del aire con gases emitidos por fábricas y por el tránsito de vehículos afecta de forma desproporcionada a las comunidades económicamente deprimidas y a los hispanos, afroamericanos y asiáticos, según un estudio divulgado este lunes.",Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/la-contaminacion-en-estados-unidos-afecta-mas-a-barrios-de-las-minorias/
2022-08-22,Director ejecutivo de las APP: “LUMA está en cumplimiento del contrato”,"Aunque reconoce que tienen que hacer mucho más, el director ejecutivo de las Alianza Público Privadas (APP), Fermín Fontanés aseguró esta mañana que al momento LUMA Energy está cumpliendo con el contrato por lo que no hay justificación para cancelarlo.",Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/director-ejecutivo-de-las-app-luma-esta-en-cumplimiento-del-contrato/
2022-08-22,Menor es agredido con un tubo por un familiar en San Sebastián ,"Una ciudadana denunció durante la tarde de ayer, domingo, que un familiar agredió a su hijo de 17 años con un tubo de metal, en circunstancias que se encuentran bajo investigación, informó la Oficina de Prensa del Negociado de la Policía.",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/menor-es-agredido-con-un-tubo-por-un-familiar-en-san-sebastian/
2022-08-22,El accidente en la boda de Jennifer López y Ben Affleck,"A un mes de haber dado el sí en secreto en Las Vegas, Ben Affleck y Jennifer Lopez celebran su unión con un fastuoso festejo de tres días en la lujosa residencia que el actor posee en Georgia.",Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/el-accidente-en-la-boda-de-jennifer-lopez-y-ben-affleck/
2022-08-22,Hieren de bala a un adolescente en Puerto Nuevo ,"Un adolescente resultó herido de bala anoche frente a una residencia localizada en la calle 7 SO de la urbanización Caparra Terrace, en Puerto Nuevo.",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/hieren-de-bala-a-un-adolescente-en-puerto-nuevo/
2022-08-22,¿Recuerdas a las cantantes de t.A.T.u? Mira cómo lucen ahora,"En términos conceptuales, el dúo ruso t.A.T.u. fue una farsa. Un invento del psicólogo infantil Ivan Shapovalov, devenido productor musical y director de publicidad, que combinó todos sus artes para crear al grupo pop más importante de Rusia en pleno comienzo del siglo XXI. En otras palabras, t.A.T.u. fue un engaño publicitario que, como la mayoría de los engaños publicitarios, salió muy bien.",Música,Primera Hora,http://www.primerahora.com/entretenimiento/musica/notas/recuerdas-a-las-cantantes-de-tatu-mira-como-lucen-ahora/
2022-08-22,Inicia tributo a Juan Gabriel a seis años de su muerte," Una serie de eventos culturales que durarán una semana en Ciudad Juárez, en el norte de México, iniciaron este domingo para conmemorar el sexto aniversario de la muerte del cantante mexicano Juan Gabriel.",Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/inicia-tributo-a-juan-gabriel-a-seis-anos-de-su-muerte/
